temp_mean_daily_max,Date,pm2.5_mean,sector,energy_products,consumption_ktoe
31.7,2009,19.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,10683.7
31.9,2010,17.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,12557.5
31.2,2011,17.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,12501.6
31.2,2012,19.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,12896.3
31.3,2013,20.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,13780.400000000001
31.6,2014,18.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,14475.5
31.9,2015,24.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,15311.7
32.0,2016,15.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,14801.900000000001
31.1,2017,14.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,15146.6
31.6,2018,15.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,14730.199999999999
32.3,2019,16.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,16135.0
31.7,2020,11.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,16135.0
31.7,2021,12.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,16135.0
31.6,2022,11.0,Commerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedCommerce and Services-relatedHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsHouseholdsIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedIndustry-relatedOthersOthersOthersOthersOthersOthersTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-relatedTransport-related,Coal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum ProductsCoal and PeatCrude OilElectricityNatural GasOthersPetroleum Products,16135.0
